,Target,Disclosure,Source
2135,12.4,AO6,G4 Sector Disclosure 2011
2136,12.4,AO5,G4 Sector Disclosure 2011
2138,12.4,OG7,G4 Sector Disclosure 2012
2139,12.4,MM1,G4 Sector Disclosure 2010
2141,12.4,OG8,G4 Sector Disclosure 2012
2142,12.4,CRE5,G4 Sector Disclosure 2011
2144,12.4,MM8,G4 Sector Disclosure 2010
2147,12.4,Former EU9,G4 Sector Disclosure 2009
2148,12.4,AO4,G4 Sector Disclosure 2011
2149,12.4,MM3,G4 Sector Disclosure 2010
2150,12.4,OG5,G4 Sector Disclosure 2012
2151,12.4,OG6,G4 Sector Disclosure 2012
2152,12.5,AO6,G4 Sector Disclosure 2011
2153,12.5,OG7,G4 Sector Disclosure 2012
2154,12.5,Former,G4 Sector Disclosure 2010
2156,12.5,MM3,G4 Sector Disclosure 2010
2157,12.5,EO9,G4 Sector Disclosure 2012
2158,12.5,OG6,G4 Sector Disclosure 2012
2159,13.1,EU5,G4 Sector Disclosure 2009
2160,13.1,EU11,G4 Sector Disclosure 2009
2161,13.1,CRE1,G4 Sector Disclosure 2011
2162,13.1,Former EU7,G4 Sector Disclosure 2009
2164,13.1,CRE3,G4 Sector Disclosure 2011
2165,13.1,CRE4,G4 Sector Disclosure 2011
2166,13.1,MM11,G4 Sector Disclosure 2010
2167,13.1,EU12,G4 Sector Disclosure 2009
2168,13.1,CRE8,G4 Sector Disclosure 2011
2170,13.1,OG6,G4 Sector Disclosure 2012
2171,14.1,MM1,G4 Sector Disclosure 2010
2173,14.1,CRE5,G4 Sector Disclosure 2011
2175,14.1,OG5,G4 Sector Disclosure 2012
2176,14.2,MM1,G4 Sector Disclosure 2010
2178,14.2,EU13,G4 Sector Disclosure 2009
2179,14.2,CRE5,G4 Sector Disclosure 2011
2181,14.2,OG4,G4 Sector Disclosure 2012
